stateName,vehicleType,pollutant (g/mi),,EF_2023
LOUISIANA,"Light Commercial Truck, Diesel",CO,,0.641
MAINE,"Light Commercial Truck, Diesel",CO,,0.556
MARYLAND,"Light Commercial Truck, Diesel",CO,,0.589
MASSACHUSETTS,"Light Commercial Truck, Diesel",CO,,0.602
MICHIGAN,"Light Commercial Truck, Diesel",CO,,0.583
MINNESOTA,"Light Commercial Truck, Diesel",CO,,0.569
MISSISSIPPI,"Light Commercial Truck, Diesel",CO,,0.575
MISSOURI,"Light Commercial Truck, Diesel",CO,,0.562
MONTANA,"Light Commercial Truck, Diesel",CO,,0.549
NEBRASKA,"Light Commercial Truck, Diesel",CO,,0.558
NEVADA,"Light Commercial Truck, Diesel",CO,,0.591
NEW HAMPSHIRE,"Light Commercial Truck, Diesel",CO,,0.572
NEW JERSEY,"Light Commercial Truck, Diesel",CO,,0.600
NEW MEXICO,"Light Commercial Truck, Diesel",CO,,0.570
NEW YORK,"Light Commercial Truck, Diesel",CO,,0.590
NORTH CAROLINA,"Light Commercial Truck, Diesel",CO,,0.582
NORTH DAKOTA,"Light Commercial Truck, Diesel",CO,,0.548
OHIO,"Light Commercial Truck, Diesel",CO,,0.579
OKLAHOMA,"Light Commercial Truck, Diesel",CO,,0.566
OREGON,"Light Commercial Truck, Diesel",CO,,0.578
PENNSYLVANIA,"Light Commercial Truck, Diesel",CO,,0.585
RHODE ISLAND,"Light Commercial Truck, Diesel",CO,,0.594
SOUTH CAROLINA,"Light Commercial Truck, Diesel",CO,,0.578
SOUTH DAKOTA,"Light Commercial Truck, Diesel",CO,,0.546
TENNESSEE,"Light Commercial Truck, Diesel",CO,,0.584
TEXAS,"Light Commercial Truck, Diesel",CO,,0.645
UTAH,"Light Commercial Truck, Diesel",CO,,0.576
VERMONT,"Light Commercial Truck, Diesel",CO,,0.552
VIRGINIA,"Light Commercial Truck, Diesel",CO,,0.579
WASHINGTON,"Light Commercial Truck, Diesel",CO,,0.578
WEST VIRGINIA,"Light Commercial Truck, Diesel",CO,,0.565
WISCONSIN,"Light Commercial Truck, Diesel",CO,,0.565
WYOMING,"Light Commercial Truck, Diesel",CO,,0.550
ALABAMA,"Light Commercial Truck, Gasoline",CO,,0.740
ALASKA,"Light Commercial Truck, Gasoline",CO,,1.464
ARIZONA,"Light Commercial Truck, Gasoline",CO,,0.867
ARKANSAS,"Light Commercial Truck, Gasoline",CO,,0.754
CALIFORNIA,"Light Commercial Truck, Gasoline",CO,,0.758
COLORADO,"Light Commercial Truck, Gasoline",CO,,0.866
CONNECTICUT,"Light Commercial Truck, Gasoline",CO,,0.843
DELAWARE,"Light Commercial Truck, Gasoline",CO,,0.794
DISTRICT OF COLUMBIA,"Light Commercial Truck, Gasoline",CO,,0.815
FLORIDA,"Light Commercial Truck, Gasoline",CO,,0.878
GEORGIA,"Light Commercial Truck, Gasoline",CO,,0.753
HAWAII,"Light Commercial Truck, Gasoline",CO,,0.916
IDAHO,"Light Commercial Truck, Gasoline",CO,,0.865
ILLINOIS,"Light Commercial Truck, Gasoline",CO,,0.842
INDIANA,"Light Commercial Truck, Gasoline",CO,,0.832
IOWA,"Light Commercial Truck, Gasoline",CO,,0.842
KANSAS,"Light Commercial Truck, Gasoline",CO,,0.795
KENTUCKY,"Light Commercial Truck, Gasoline",CO,,0.792
LOUISIANA,"Light Commercial Truck, Gasoline",CO,,0.797
MAINE,"Light Commercial Truck, Gasoline",CO,,0.868
MARYLAND,"Light Commercial Truck, Gasoline",CO,,0.796
MASSACHUSETTS,"Light Commercial Truck, Gasoline",CO,,0.869
MICHIGAN,"Light Commercial Truck, Gasoline",CO,,0.870
MINNESOTA,"Light Commercial Truck, Gasoline",CO,,0.927
MISSISSIPPI,"Light Commercial Truck, Gasoline",CO,,0.735
MISSOURI,"Light Commercial Truck, Gasoline",CO,,0.796
MONTANA,"Light Commercial Truck, Gasoline",CO,,0.898
NEBRASKA,"Light Commercial Truck, Gasoline",CO,,0.836
NEVADA,"Light Commercial Truck, Gasoline",CO,,0.790
NEW HAMPSHIRE,"Light Commercial Truck, Gasoline",CO,,0.828
NEW JERSEY,"Light Commercial Truck, Gasoline",CO,,0.771
NEW MEXICO,"Light Commercial Truck, Gasoline",CO,,0.783
NEW YORK,"Light Commercial Truck, Gasoline",CO,,0.853
NORTH CAROLINA,"Light Commercial Truck, Gasoline",CO,,0.766
NORTH DAKOTA,"Light Commercial Truck, Gasoline",CO,,0.952
OHIO,"Light Commercial Truck, Gasoline",CO,,0.840
OKLAHOMA,"Light Commercial Truck, Gasoline",CO,,0.752
OREGON,"Light Commercial Truck, Gasoline",CO,,0.842
PENNSYLVANIA,"Light Commercial Truck, Gasoline",CO,,0.839
RHODE ISLAND,"Light Commercial Truck, Gasoline",CO,,0.854
SOUTH CAROLINA,"Light Commercial Truck, Gasoline",CO,,0.746
SOUTH DAKOTA,"Light Commercial Truck, Gasoline",CO,,0.904
TENNESSEE,"Light Commercial Truck, Gasoline",CO,,0.780
TEXAS,"Light Commercial Truck, Gasoline",CO,,0.778
UTAH,"Light Commercial Truck, Gasoline",CO,,0.836
VERMONT,"Light Commercial Truck, Gasoline",CO,,0.877
VIRGINIA,"Light Commercial Truck, Gasoline",CO,,0.784
WASHINGTON,"Light Commercial Truck, Gasoline",CO,,0.865
WEST VIRGINIA,"Light Commercial Truck, Gasoline",CO,,0.806
WISCONSIN,"Light Commercial Truck, Gasoline",CO,,0.899
WYOMING,"Light Commercial Truck, Gasoline",CO,,0.910
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
,,,,
ALABAMA,"Refuse Truck, Diesel",CO,,1.671
ALASKA,"Refuse Truck, Diesel",CO,,1.665
ARIZONA,"Refuse Truck, Diesel",CO,,1.736
ARKANSAS,"Refuse Truck, Diesel",CO,,1.604
CALIFORNIA,"Refuse Truck, Diesel",CO,,1.717
COLORADO,"Refuse Truck, Diesel",CO,,1.675
CONNECTICUT,"Refuse Truck, Diesel",CO,,1.736
DELAWARE,"Refuse Truck, Diesel",CO,,1.788
DISTRICT OF COLUMBIA,"Refuse Truck, Diesel",CO,,2.287
FLORIDA,"Refuse Truck, Diesel",CO,,1.846
GEORGIA,"Refuse Truck, Diesel",CO,,1.722
HAWAII,"Refuse Truck, Diesel",CO,,1.836
IDAHO,"Refuse Truck, Diesel",CO,,1.582
ILLINOIS,"Refuse Truck, Diesel",CO,,1.744
INDIANA,"Refuse Truck, Diesel",CO,,1.674
IOWA,"Refuse Truck, Diesel",CO,,1.571
KANSAS,"Refuse Truck, Diesel",CO,,1.574
KENTUCKY,"Refuse Truck, Diesel",CO,,1.567
LOUISIANA,"Refuse Truck, Diesel",CO,,1.666
MAINE,"Refuse Truck, Diesel",CO,,1.534
MARYLAND,"Refuse Truck, Diesel",CO,,1.735
MASSACHUSETTS,"Refuse Truck, Diesel",CO,,1.837
MICHIGAN,"Refuse Truck, Diesel",CO,,1.701
MINNESOTA,"Refuse Truck, Diesel",CO,,1.629
MISSISSIPPI,"Refuse Truck, Diesel",CO,,1.585
MISSOURI,"Refuse Truck, Diesel",CO,,1.540
MONTANA,"Refuse Truck, Diesel",CO,,1.510
NEBRASKA,"Refuse Truck, Diesel",CO,,1.552
NEVADA,"Refuse Truck, Diesel",CO,,1.753
NEW HAMPSHIRE,"Refuse Truck, Diesel",CO,,1.622
NEW JERSEY,"Refuse Truck, Diesel",CO,,1.817
NEW MEXICO,"Refuse Truck, Diesel",CO,,1.592
NEW YORK,"Refuse Truck, Diesel",CO,,1.732
NORTH CAROLINA,"Refuse Truck, Diesel",CO,,1.683
NORTH DAKOTA,"Refuse Truck, Diesel",CO,,1.528
OHIO,"Refuse Truck, Diesel",CO,,1.667
OKLAHOMA,"Refuse Truck, Diesel",CO,,1.590
OREGON,"Refuse Truck, Diesel",CO,,1.673
PENNSYLVANIA,"Refuse Truck, Diesel",CO,,1.673
RHODE ISLAND,"Refuse Truck, Diesel",CO,,1.768
SOUTH CAROLINA,"Refuse Truck, Diesel",CO,,1.641
SOUTH DAKOTA,"Refuse Truck, Diesel",CO,,1.484
TENNESSEE,"Refuse Truck, Diesel",CO,,1.682
TEXAS,"Refuse Truck, Diesel",CO,,1.696
UTAH,"Refuse Truck, Diesel",CO,,1.671
VERMONT,"Refuse Truck, Diesel",CO,,1.503
VIRGINIA,"Refuse Truck, Diesel",CO,,1.643
WASHINGTON,"Refuse Truck, Diesel",CO,,1.667
WEST VIRGINIA,"Refuse Truck, Diesel",CO,,1.576
WISCONSIN,"Refuse Truck, Diesel",CO,,1.596
WYOMING,"Refuse Truck, Diesel",CO,,1.490
ALABAMA,"School Bus, Diesel",CO,,0.677
ALASKA,"School Bus, Diesel",CO,,0.675
ARIZONA,"School Bus, Diesel",CO,,0.701
ARKANSAS,"School Bus, Diesel",CO,,0.659
CALIFORNIA,"School Bus, Diesel",CO,,0.705
COLORADO,"School Bus, Diesel",CO,,0.686
CONNECTICUT,"School Bus, Diesel",CO,,0.715
DELAWARE,"School Bus, Diesel",CO,,0.712
DISTRICT OF COLUMBIA,"School Bus, Diesel",CO,,0.823
FLORIDA,"School Bus, Diesel",CO,,0.729
GEORGIA,"School Bus, Diesel",CO,,0.697
HAWAII,"School Bus, Diesel",CO,,0.728
IDAHO,"School Bus, Diesel",CO,,0.652
ILLINOIS,"School Bus, Diesel",CO,,0.703
INDIANA,"School Bus, Diesel",CO,,0.680
IOWA,"School Bus, Diesel",CO,,0.646
KANSAS,"School Bus, Diesel",CO,,0.653
KENTUCKY,"School Bus, Diesel",CO,,0.650
LOUISIANA,"School Bus, Diesel",CO,,0.679
MAINE,"School Bus, Diesel",CO,,0.636
MARYLAND,"School Bus, Diesel",CO,,0.709
MASSACHUSETTS,"School Bus, Diesel",CO,,0.740
MICHIGAN,"School Bus, Diesel",CO,,0.689
MINNESOTA,"School Bus, Diesel",CO,,0.668
MISSISSIPPI,"School Bus, Diesel",CO,,0.651
MISSOURI,"School Bus, Diesel",CO,,0.650
MONTANA,"School Bus, Diesel",CO,,0.629
