Fuel,On-Road Application,Torque (lb-ft),Pollutant,Multiplier
LNG/D,Light Commercial Truck,No engine,PM10,1
LNG/D,Light Commercial Truck,No engine,PM10 (TBW),1
LNG/D,Light Commercial Truck,No engine,PM2.5,1
LNG/D,Light Commercial Truck,No engine,PM2.5 (TBW),1
LNG/D,Light Commercial Truck,No engine,VOC,1
LNG/D,Light Commercial Truck,No engine,VOC (Evap),1
LNG/D,Passenger Car,No engine,CO,1
LNG/D,Passenger Car,No engine,NOx,1
LNG/D,Passenger Car,No engine,PM10,1
LNG/D,Passenger Car,No engine,PM10 (TBW),1
LNG/D,Passenger Car,No engine,PM2.5,1
LNG/D,Passenger Car,No engine,PM2.5 (TBW),1
LNG/D,Passenger Car,No engine,VOC,1
LNG/D,Passenger Car,No engine,VOC (Evap),1
LNG/D,Passenger Truck,No engine,CO,1
LNG/D,Passenger Truck,No engine,NOx,1
LNG/D,Passenger Truck,No engine,PM10,1
LNG/D,Passenger Truck,No engine,PM10 (TBW),1
LNG/D,Passenger Truck,No engine,PM2.5,1
LNG/D,Passenger Truck,No engine,PM2.5 (TBW),1
LNG/D,Passenger Truck,No engine,VOC,1
LNG/D,Passenger Truck,No engine,VOC (Evap),1
LNG/D,Refuse Truck,1750,CO,0.5
LNG/D,Refuse Truck,1750,NOx,0.5
LNG/D,Refuse Truck,1750,PM10,0.9
LNG/D,Refuse Truck,1750,PM10 (TBW),1
LNG/D,Refuse Truck,1750,PM2.5,0.9
LNG/D,Refuse Truck,1750,PM2.5 (TBW),1
LNG/D,Refuse Truck,1750,VOC,1
LNG/D,Refuse Truck,1750,VOC (Evap),1
LNG/D,School Bus,No engine,CO,1
LNG/D,School Bus,No engine,NOx,1
LNG/D,School Bus,No engine,PM10,1
LNG/D,School Bus,No engine,PM10 (TBW),1
LNG/D,School Bus,No engine,PM2.5,1
LNG/D,School Bus,No engine,PM2.5 (TBW),1
LNG/D,School Bus,No engine,VOC,1
LNG/D,School Bus,No engine,VOC (Evap),1
LNG/D,Single Unit Long-haul Truck,1750,CO,0.5
LNG/D,Single Unit Long-haul Truck,1750,NOx,0.5
LNG/D,Single Unit Long-haul Truck,1750,PM10,0.9
LNG/D,Single Unit Long-haul Truck,1750,PM10 (TBW),1
LNG/D,Single Unit Long-haul Truck,1750,PM2.5,0.9
LNG/D,Single Unit Long-haul Truck,1750,PM2.5 (TBW),1
LNG/D,Single Unit Long-haul Truck,1750,VOC,1
LNG/D,Single Unit Long-haul Truck,1750,VOC (Evap),1
LNG/D,Single Unit Short-haul Truck,1750,CO,0.5
LNG/D,Single Unit Short-haul Truck,1750,NOx,0.5
LNG/D,Single Unit Short-haul Truck,1750,PM10,0.9
LNG/D,Single Unit Short-haul Truck,1750,PM10 (TBW),1
LNG/D,Single Unit Short-haul Truck,1750,PM2.5,0.9
LNG/D,Single Unit Short-haul Truck,1750,PM2.5 (TBW),1
LNG/D,Single Unit Short-haul Truck,1750,VOC,1
LNG/D,Single Unit Short-haul Truck,1750,VOC (Evap),1
LNG/D,Transit Bus,1750,CO,0.5
LNG/D,Transit Bus,1750,NOx,0.5
LNG/D,Transit Bus,1750,PM10,0.9
LNG/D,Transit Bus,1750,PM10 (TBW),1
LNG/D,Transit Bus,1750,PM2.5,0.9
LNG/D,Transit Bus,1750,PM2.5 (TBW),1
LNG/D,Transit Bus,1750,VOC,1
LNG/D,Transit Bus,1750,VOC (Evap),1
E85,Combination Long-haul Truck,No engine,CO,1
E85,Combination Long-haul Truck,No engine,NOx,1
E85,Combination Long-haul Truck,No engine,PM10,1
E85,Combination Long-haul Truck,No engine,PM10 (TBW),1
E85,Combination Long-haul Truck,No engine,PM2.5,1
E85,Combination Long-haul Truck,No engine,PM2.5 (TBW),1
E85,Combination Long-haul Truck,No engine,VOC,1
E85,Combination Long-haul Truck,No engine,VOC (Evap),1
E85,Combination Short-haul Truck,No engine,CO,1
E85,Combination Short-haul Truck,No engine,NOx,1
E85,Combination Short-haul Truck,No engine,PM10,1
E85,Combination Short-haul Truck,No engine,PM10 (TBW),1
E85,Combination Short-haul Truck,No engine,PM2.5,1
E85,Combination Short-haul Truck,No engine,PM2.5 (TBW),1
E85,Combination Short-haul Truck,No engine,VOC,1
E85,Combination Short-haul Truck,No engine,VOC (Evap),1
E85,Light Commercial Truck,373,CO,1
E85,Light Commercial Truck,373,NOx,1
E85,Light Commercial Truck,373,PM10,1
E85,Light Commercial Truck,373,PM10 (TBW),1
E85,Light Commercial Truck,373,PM2.5,1
E85,Light Commercial Truck,373,PM2.5 (TBW),1
E85,Light Commercial Truck,373,VOC,1
E85,Light Commercial Truck,373,VOC (Evap),0.85
E85,Passenger Car,N/A,CO,1
E85,Passenger Car,N/A,NOx,1
E85,Passenger Car,N/A,PM10,1
E85,Passenger Car,N/A,PM10 (TBW),1
E85,Passenger Car,N/A,PM2.5,1
E85,Passenger Car,N/A,PM2.5 (TBW),1
E85,Passenger Car,N/A,VOC,1
E85,Passenger Car,N/A,VOC (Evap),0.85
E85,Passenger Truck,N/A,CO,1
E85,Passenger Truck,N/A,NOx,1
E85,Passenger Truck,N/A,PM10,1
E85,Passenger Truck,N/A,PM10 (TBW),1
E85,Passenger Truck,N/A,PM2.5,1
E85,Passenger Truck,N/A,PM2.5 (TBW),1
E85,Passenger Truck,N/A,VOC,1
E85,Passenger Truck,N/A,VOC (Evap),0.85
E85,Refuse Truck,No engine,CO,1
E85,Refuse Truck,No engine,NOx,1
E85,Refuse Truck,No engine,PM10,1
E85,Refuse Truck,No engine,PM10 (TBW),1
E85,Refuse Truck,No engine,PM2.5,1
E85,Refuse Truck,No engine,PM2.5 (TBW),1
E85,Refuse Truck,No engine,VOC,1
E85,Refuse Truck,No engine,VOC (Evap),1
E85,School Bus,gasoline,CO,1
E85,School Bus,gasoline,NOx,1
E85,School Bus,gasoline,PM10,1
E85,School Bus,gasoline,PM10 (TBW),1
E85,School Bus,gasoline,PM2.5,1
E85,School Bus,gasoline,PM2.5 (TBW),1
E85,School Bus,gasoline,VOC,1
E85,School Bus,gasoline,VOC (Evap),1
E85,Single Unit Long-haul Truck,gasoline,CO,1
E85,Single Unit Long-haul Truck,gasoline,NOx,1
E85,Single Unit Long-haul Truck,gasoline,PM10,1
E85,Single Unit Long-haul Truck,gasoline,PM10 (TBW),1
E85,Single Unit Long-haul Truck,gasoline,PM2.5,1
E85,Single Unit Long-haul Truck,gasoline,PM2.5 (TBW),1
E85,Single Unit Long-haul Truck,gasoline,VOC,1
E85,Single Unit Long-haul Truck,gasoline,VOC (Evap),1
E85,Single Unit Short-haul Truck,gasoline,CO,1
E85,Single Unit Short-haul Truck,gasoline,NOx,1
E85,Single Unit Short-haul Truck,gasoline,PM10,1
E85,Single Unit Short-haul Truck,gasoline,PM10 (TBW),1
E85,Single Unit Short-haul Truck,gasoline,PM2.5,1
E85,Single Unit Short-haul Truck,gasoline,PM2.5 (TBW),1
E85,Single Unit Short-haul Truck,gasoline,VOC,1
E85,Single Unit Short-haul Truck,gasoline,VOC (Evap),1
E85,Transit Bus,No engine,CO,1
E85,Transit Bus,No engine,NOx,1
E85,Transit Bus,No engine,PM10,1
E85,Transit Bus,No engine,PM10 (TBW),1
E85,Transit Bus,No engine,PM2.5,1
E85,Transit Bus,No engine,PM2.5 (TBW),1
E85,Transit Bus,No engine,VOC,1
E85,Transit Bus,No engine,VOC (Evap),1
B20,Combination Long-haul Truck,,CO,1
B20,Combination Long-haul Truck,,NOx,1
B20,Combination Long-haul Truck,,PM10,1
B20,Combination Long-haul Truck,,PM10 (TBW),1
B20,Combination Long-haul Truck,,PM2.5,1
B20,Combination Long-haul Truck,,PM2.5 (TBW),1
B20,Combination Long-haul Truck,,VOC,1
B20,Combination Long-haul Truck,,VOC (Evap),1
B20,Combination Short-haul Truck,,CO,1
B20,Combination Short-haul Truck,,NOx,1
B20,Combination Short-haul Truck,,PM10,1
B20,Combination Short-haul Truck,,PM10 (TBW),1
B20,Combination Short-haul Truck,,PM2.5,1
B20,Combination Short-haul Truck,,PM2.5 (TBW),1
B20,Combination Short-haul Truck,,VOC,1
B20,Combination Short-haul Truck,,VOC (Evap),1
B20,Light Commercial Truck,,CO,1
B20,Light Commercial Truck,,NOx,1
B20,Light Commercial Truck,,PM10,1
B20,Light Commercial Truck,,PM10 (TBW),1
B20,Light Commercial Truck,,PM2.5,1
B20,Light Commercial Truck,,PM2.5 (TBW),1
B20,Light Commercial Truck,,VOC,1
B20,Light Commercial Truck,,VOC (Evap),1
B20,Passenger Car,N/A,CO,1
B20,Passenger Car,N/A,NOx,1
B20,Passenger Car,N/A,PM10,1
B20,Passenger Car,N/A,PM10 (TBW),1
B20,Passenger Car,N/A,PM2.5,1
B20,Passenger Car,N/A,PM2.5 (TBW),1
B20,Passenger Car,N/A,VOC,1
B20,Passenger Car,N/A,VOC (Evap),1
B20,Passenger Truck,N/A,CO,1
B20,Passenger Truck,N/A,NOx,1
B20,Passenger Truck,N/A,PM10,1
B20,Passenger Truck,N/A,PM10 (TBW),1
B20,Passenger Truck,N/A,PM2.5,1
B20,Passenger Truck,N/A,PM2.5 (TBW),1
B20,Passenger Truck,N/A,VOC,1
B20,Passenger Truck,N/A,VOC (Evap),1
B20,Refuse Truck,,CO,1
B20,Refuse Truck,,NOx,1
B20,Refuse Truck,,PM10,1
B20,Refuse Truck,,PM10 (TBW),1
B20,Refuse Truck,,PM2.5,1
B20,Refuse Truck,,PM2.5 (TBW),1
B20,Refuse Truck,,VOC,1
B20,Refuse Truck,,VOC (Evap),1
B20,School Bus,,CO,1
B20,School Bus,,NOx,1
B20,School Bus,,PM10,1
B20,School Bus,,PM10 (TBW),1
B20,School Bus,,PM2.5,1
B20,School Bus,,PM2.5 (TBW),1
B20,School Bus,,VOC,1
B20,School Bus,,VOC (Evap),1
B20,Single Unit Long-haul Truck,,CO,1
B20,Single Unit Long-haul Truck,,NOx,1
B20,Single Unit Long-haul Truck,,PM10,1
B20,Single Unit Long-haul Truck,,PM10 (TBW),1
B20,Single Unit Long-haul Truck,,PM2.5,1
B20,Single Unit Long-haul Truck,,PM2.5 (TBW),1
B20,Single Unit Long-haul Truck,,VOC,1
B20,Single Unit Long-haul Truck,,VOC (Evap),1
B20,Single Unit Short-haul Truck,,CO,1
B20,Single Unit Short-haul Truck,,NOx,1
B20,Single Unit Short-haul Truck,,PM10,1
B20,Single Unit Short-haul Truck,,PM10 (TBW),1
B20,Single Unit Short-haul Truck,,PM2.5,1
B20,Single Unit Short-haul Truck,,PM2.5 (TBW),1
B20,Single Unit Short-haul Truck,,VOC,1
B20,Single Unit Short-haul Truck,,VOC (Evap),1
B20,Transit Bus,,CO,1
B20,Transit Bus,,NOx,1
B20,Transit Bus,,PM10,1
